position_id,client_id,ticker,quantity,purchase_price,purchase_date,currency
POS-00107,CLI-1010,AGG,1368.5287,98.4364,2025-12-10,USD
POS-00108,CLI-1010,IWDA.AS,1438.8535,105.2212,2025-09-01,EUR
POS-00109,CLI-1010,MSFT,395.7256,382.9319,2025-03-04,USD
POS-00110,CLI-1011,MSFT,66.3522,396.2184,2026-05-01,USD
POS-00111,CLI-1011,TTE.PA,557.2187,81.1277,2026-05-21,EUR
POS-00112,CLI-1011,MC.PA,42.7996,447.5476,2025-06-14,EUR
POS-00113,CLI-1011,SAP.DE,119.8386,139.8188,2026-07-02,EUR
POS-00114,CLI-1011,TTE.PA,349.8817,52.1118,2025-06-12,EUR
POS-00115,CLI-1011,MC.PA,55.2173,449.1254,2026-05-02,EUR
POS-00116,CLI-1011,NVDA,60.9112,217.4228,2026-08-28,USD
POS-00117,CLI-1011,SPY,22.2799,707.3239,2026-04-19,USD
POS-00118,CLI-1011,ASML.AS,28.8318,871.4217,2025-11-07,EUR
POS-00119,CLI-1011,TLT,167.7033,88.5135,2026-02-23,USD
POS-00120,CLI-1011,MC.PA,13.3156,630.4482,2025-11-14,EUR
POS-00121,CLI-1011,SAN.PA,55.0392,73.7641,2026-08-06,EUR
POS-00122,CLI-1011,AAPL,102.9485,208.1415,2025-07-30,USD
POS-00123,CLI-1012,MSFT,92.3995,424.3595,2026-05-22,USD
POS-00124,CLI-1012,NVDA,346.4466,208.2882,2026-05-07,USD
POS-00125,CLI-1012,SAN.PA,1253.4657,75.5585,2026-07-18,EUR
POS-00126,CLI-1012,VNQ,117.9887,95.0296,2026-04-21,USD
POS-00127,CLI-1012,MSFT,153.1837,388.7449,2026-07-22,USD
POS-00128,CLI-1012,AAPL,220.9952,253.0798,2026-04-03,USD
POS-00129,CLI-1012,MC.PA,150.573,463.1017,2026-03-17,EUR
POS-00130,CLI-1012,GLD,67.5281,372.7405,2026-07-15,USD
POS-00131,CLI-1012,MSFT,72.8074,351.3232,2026-03-29,USD
POS-00132,CLI-1012,QQQ,170.3675,742.537,2026-06-30,USD
POS-00133,CLI-1012,MC.PA,69.2784,462.968,2026-03-30,EUR
POS-00134,CLI-1012,JNJ,188.6695,237.8928,2026-03-20,USD
POS-00135,CLI-1013,AGG,513.0849,95.6331,2026-08-06,USD
POS-00136,CLI-1013,AGG,975.2312,97.4487,2026-04-07,USD
POS-00137,CLI-1013,SAN.PA,703.8145,75.9674,2026-09-05,EUR
POS-00138,CLI-1013,VNQ,340.8457,101.4068,2026-07-18,USD
POS-00139,CLI-1013,GLD,201.9574,311.0714,2025-08-04,USD
POS-00140,CLI-1013,TLT,736.9129,86.2447,2025-09-11,USD
POS-00141,CLI-1013,TLT,881.5041,85.6766,2025-12-23,USD
POS-00142,CLI-1013,TLT,336.3526,84.8406,2025-11-21,USD
POS-00143,CLI-1013,BND,685.4502,71.7371,2026-01-21,USD
POS-00144,CLI-1013,TLT,173.9081,84.4258,2026-03-21,USD
POS-00145,CLI-1013,TLT,1043.2376,79.1788,2026-08-17,USD
POS-00146,CLI-1013,SAN.PA,1638.6041,76.8203,2025-09-22,EUR
POS-00147,CLI-1013,IWDA.AS,377.0424,126.932,2026-07-04,EUR
POS-00148,CLI-1014,BND,269.4522,73.4299,2026-07-29,USD
POS-00149,CLI-1014,VNQ,396.0802,87.0912,2026-01-11,USD
POS-00150,CLI-1014,BND,327.8309,71.0414,2026-07-20,USD
POS-00151,CLI-1014,BND,283.7441,72.2111,2026-05-12,USD
POS-00152,CLI-1014,QQQ,25.7089,617.5087,2025-12-23,USD
POS-00153,CLI-1014,VNQ,244.358,87.4977,2025-12-25,USD
POS-00154,CLI-1014,JNJ,125.5973,259.5535,2026-08-08,USD
POS-00155,CLI-1014,BND,490.9256,69.8362,2026-08-24,USD
POS-00156,CLI-1015,TLT,1024.6931,82.9526,2026-08-08,USD
POS-00157,CLI-1015,JNJ,295.4969,259.7788,2026-07-06,USD
POS-00158,CLI-1015,TLT,260.8985,85.6885,2026-07-19,USD
POS-00159,CLI-1015,ASML.AS,47.0992,1531.5772,2026-08-23,EUR
POS-00160,CLI-1015,VNQ,265.9993,98.8606,2026-08-02,USD
POS-00161,CLI-1015,NVDA,148.4364,211.8909,2026-06-18,USD
POS-00162,CLI-1015,TLT,258.9883,86.2582,2026-06-26,USD
POS-00163,CLI-1015,SPY,22.5444,764.8744,2026-08-13,USD
POS-00164,CLI-1015,SPY,69.8264,715.7215,2026-06-24,USD
POS-00165,CLI-1015,TLT,179.8407,84.115,2026-07-09,USD
POS-00166,CLI-1016,JPM,595.3827,326.8142,2025-12-23,USD
POS-00167,CLI-1016,GLD,155.2611,371.424,2025-10-31,USD
POS-00168,CLI-1016,VNQ,3045.397,89.7489,2026-02-01,USD
POS-00169,CLI-1016,SAP.DE,570.7848,204.8899,2026-01-05,EUR
POS-00170,CLI-1016,ASML.AS,184.7393,1607.0559,2026-07-06,EUR
POS-00171,CLI-1016,IWDA.AS,1529.8835,112.804,2026-01-29,EUR
POS-00172,CLI-1016,JNJ,1098.7175,226.1249,2026-06-04,USD
POS-00173,CLI-1017,QQQ,66.9111,572.3253,2025-08-10,USD
POS-00174,CLI-1017,GLD,73.7474,458.2558,2026-01-24,USD
POS-00175,CLI-1017,NVDA,208.7912,158.9593,2025-07-06,USD
POS-00176,CLI-1017,SAP.DE,143.9234,252.365,2025-06-01,EUR
POS-00177,CLI-1017,TLT,159.2532,83.0766,2024-11-01,USD
POS-00178,CLI-1017,ASML.AS,28.8181,1155.9921,2026-02-05,EUR
POS-00179,CLI-1017,SAP.DE,296.4409,179.0115,2024-07-09,EUR
POS-00180,CLI-1018,BND,2893.223,71.6879,2025-11-11,USD
POS-00181,CLI-1018,VNQ,1604.9398,83.8916,2025-03-11,USD
POS-00182,CLI-1018,JPM,541.3331,293.3126,2025-11-24,USD
POS-00183,CLI-1018,AGG,1999.0468,97.2098,2025-10-17,USD
POS-00184,CLI-1018,AGG,1708.3774,96.5825,2026-06-02,USD
POS-00185,CLI-1018,AGG,2509.1052,96.6911,2025-09-28,USD
POS-00186,CLI-1019,JPM,369.8501,283.1567,2025-07-01,USD
POS-00187,CLI-1019,AGG,1648.5463,96.5879,2025-10-27,USD
POS-00188,CLI-1019,QQQ,127.1106,520.6221,2025-01-22,USD
POS-00189,CLI-1019,JPM,545.7933,291.7398,2025-07-05,USD
POS-00190,CLI-1019,JPM,115.0405,335.2424,2026-07-06,USD
POS-00191,CLI-1019,GLD,470.7678,338.2339,2025-09-20,USD
POS-00192,CLI-1019,AGG,389.1734,94.0803,2026-07-06,USD
POS-00193,CLI-1020,MSFT,90.0665,503.0638,2026-08-11,USD
POS-00194,CLI-1020,SAN.PA,570.9863,76.735,2026-07-24,EUR
POS-00195,CLI-1020,GLD,56.1507,399.8767,2026-06-09,USD
POS-00196,CLI-1020,BND,632.7053,70.896,2026-08-21,USD
POS-00197,CLI-1020,GLD,42.5037,364.2059,2026-07-13,USD
POS-00198,CLI-1020,JPM,101.9215,333.9573,2026-06-25,USD
POS-00199,CLI-1021,VNQ,485.9646,96.3337,2026-09-01,USD
POS-00200,CLI-1021,SAN.PA,1023.2904,76.3104,2026-08-05,EUR
POS-00201,CLI-1021,AAPL,168.3461,315.8138,2026-08-31,USD
POS-00202,CLI-1021,SAN.PA,642.6347,73.748,2026-07-11,EUR
POS-00203,CLI-1021,BND,379.3538,73.4665,2026-07-03,USD
POS-00204,CLI-1021,TTE.PA,210.161,73.0835,2026-07-21,EUR
POS-00205,CLI-1021,AGG,449.6886,96.8063,2026-09-02,USD
POS-00206,CLI-1021,AGG,719.2049,98.1992,2026-09-06,USD
POS-00207,CLI-1021,JPM,66.9901,329.7782,2026-06-17,USD
POS-00208,CLI-1022,BND,154.0564,71.2885,2026-06-28,USD
POS-00209,CLI-1022,TLT,788.7503,81.5787,2026-07-23,USD
POS-00210,CLI-1022,VNQ,88.7039,97.7974,2026-07-13,USD
POS-00211,CLI-1022,VNQ,846.5224,97.1479,2026-07-20,USD
POS-00212,CLI-1022,GLD,79.7232,429.3212,2026-05-01,USD
POS-00213,CLI-1022,AAPL,208.3486,317.2151,2026-09-02,USD
POS-00214,CLI-1022,TLT,616.5829,86.2901,2026-06-17,USD
POS-00215,CLI-1022,GLD,219.3016,411.2591,2026-05-01,USD
POS-00216,CLI-1023,IWDA.AS,150.4238,100.037,2025-07-16,EUR
POS-00217,CLI-1023,JPM,190.7479,293.7072,2025-11-25,USD
POS-00218,CLI-1023,VNQ,147.9755,88.705,2025-07-14,USD
POS-00219,CLI-1023,ASML.AS,11.6831,1679.6394,2026-06-21,EUR
POS-00220,CLI-1023,SAN.PA,381.4077,76.2264,2026-05-30,EUR
POS-00221,CLI-1023,ASML.AS,18.1207,1425.2751,2026-06-07,EUR
POS-00222,CLI-1023,ASML.AS,48.0502,573.3722,2025-04-11,EUR
POS-00223,CLI-1023,JNJ,73.0049,208.7844,2025-12-14,USD
POS-00224,CLI-1023,IWDA.AS,139.0623,128.9384,2026-07-10,EUR
POS-00225,CLI-1023,MC.PA,79.803,441.2052,2026-03-18,EUR
POS-00226,CLI-1024,TLT,263.9931,85.307,2026-01-22,USD
POS-00227,CLI-1024,AGG,85.7393,94.0435,2025-05-04,USD
POS-00228,CLI-1024,ASML.AS,15.4321,1317.8435,2026-05-16,EUR
POS-00229,CLI-1024,NVDA,85.4734,209.8678,2026-07-12,USD
POS-00230,CLI-1024,AGG,408.9173,96.8909,2026-04-19,USD
POS-00231,CLI-1024,AGG,395.2925,97.7262,2026-01-06,USD
POS-00232,CLI-1024,GLD,92.962,382.3907,2025-11-13,USD
POS-00233,CLI-1024,BND,1272.9674,68.4389,2025-10-07,USD
POS-00234,CLI-1024,MSFT,108.3189,501.3327,2025-11-06,USD
POS-00235,CLI-1024,QQQ,22.5031,597.0128,2025-09-28,USD
POS-00236,CLI-1024,SAP.DE,226.7533,207.4357,2026-01-08,EUR
POS-00237,CLI-1024,VNQ,297.8809,87.4513,2026-03-25,USD
POS-00238,CLI-1024,ASML.AS,20.0678,1100.957,2026-01-11,EUR
POS-00239,CLI-1025,BND,570.9729,71.3122,2026-03-20,USD
POS-00240,CLI-1025,MC.PA,51.3234,605.7019,2025-11-10,EUR
POS-00241,CLI-1025,TLT,115.9129,86.4701,2026-04-14,USD
POS-00242,CLI-1025,AGG,67.4313,96.765,2025-10-21,USD
POS-00243,CLI-1025,AGG,625.7419,95.5103,2025-06-23,USD
POS-00244,CLI-1025,NVDA,200.755,134.6305,2025-05-16,USD
POS-00245,CLI-1025,TLT,110.3919,82.4296,2025-09-19,USD
POS-00246,CLI-1025,BND,1078.9544,74.6997,2026-04-16,USD
POS-00247,CLI-1025,AGG,462.8802,93.693,2025-07-11,USD
POS-00248,CLI-1025,AAPL,150.2976,249.8513,2025-10-16,USD
POS-00249,CLI-1025,BND,236.8462,69.5748,2025-09-05,USD
POS-00250,CLI-1025,TLT,117.8367,83.9985,2026-04-23,USD
POS-00251,CLI-1025,VNQ,391.8442,86.963,2025-09-03,USD
POS-00252,CLI-1025,TTE.PA,560.792,53.1176,2025-02-16,EUR
POS-00253,CLI-1026,BND,38.5112,71.0453,2026-06-08,USD
POS-00254,CLI-1026,GLD,34.0175,406.6176,2026-08-19,USD
POS-00255,CLI-1026,AGG,97.7079,98.4505,2026-02-03,USD
POS-00256,CLI-1026,JNJ,19.5661,271.2922,2026-09-01,USD
POS-00257,CLI-1026,MC.PA,10.1555,476.2271,2026-05-20,EUR
POS-00258,CLI-1026,SPY,4.7126,662.8928,2026-02-12,USD
POS-00259,CLI-1026,JPM,22.7838,323.9044,2026-06-21,USD
POS-00260,CLI-1026,NVDA,18.6382,178.8335,2026-02-08,USD
POS-00261,CLI-1026,SAN.PA,56.744,77.5903,2026-07-12,EUR
POS-00262,CLI-1026,AAPL,10.7075,336.2044,2026-07-19,USD
POS-00263,CLI-1026,TTE.PA,119.2289,77.5714,2026-05-16,EUR
POS-00264,CLI-1026,AGG,54.8552,94.0411,2025-10-16,USD
POS-00265,CLI-1026,SAP.DE,27.356,229.0202,2025-08-27,EUR
POS-00266,CLI-1027,TLT,750.2892,81.5656,2025-06-14,USD
POS-00267,CLI-1027,GLD,96.3183,313.073,2025-06-15,USD
POS-00268,CLI-1027,AGG,854.3753,101.1528,2025-11-09,USD
POS-00269,CLI-1027,TLT,302.7464,82.2765,2025-09-02,USD
POS-00270,CLI-1027,VNQ,917.6871,94.1742,2026-06-04,USD
POS-00271,CLI-1027,AGG,635.8949,94.0867,2025-04-05,USD
POS-00272,CLI-1027,TLT,507.0569,86.5658,2026-04-26,USD
POS-00273,CLI-1028,GLD,261.5683,386.4393,2026-07-06,USD
POS-00274,CLI-1028,SPY,61.4767,784.7978,2026-08-03,USD
POS-00275,CLI-1028,MC.PA,123.5395,621.9829,2025-12-04,EUR
POS-00276,CLI-1028,GLD,89.088,448.3314,2026-04-15,USD
POS-00277,CLI-1028,TTE.PA,334.1475,48.291,2025-10-10,EUR
POS-00278,CLI-1028,AGG,528.1833,96.9609,2026-03-27,USD
POS-00279,CLI-1028,BND,672.3767,73.0474,2026-02-13,USD
POS-00280,CLI-1028,SPY,58.7562,656.4601,2026-03-25,USD
POS-00281,CLI-1028,BND,1091.4961,71.8355,2026-06-05,USD
POS-00282,CLI-1028,VNQ,549.1022,85.8365,2025-11-12,USD
POS-00283,CLI-1028,AGG,733.8239,97.5632,2026-03-23,USD
POS-00284,CLI-1029,AAPL,60.2214,238.5562,2025-01-08,USD
POS-00285,CLI-1029,MSFT,65.3293,416.516,2024-10-06,USD
POS-00286,CLI-1029,IWDA.AS,763.6814,93.645,2024-09-13,EUR
POS-00287,CLI-1029,MSFT,60.3714,396.0615,2026-02-21,USD
POS-00288,CLI-1029,SAN.PA,158.5326,93.2675,2024-09-18,EUR
POS-00289,CLI-1029,ASML.AS,4.5341,564.9742,2025-04-08,EUR
POS-00290,CLI-1029,GLD,157.5101,384.7343,2025-12-11,USD
POS-00291,CLI-1029,MC.PA,53.823,460.3912,2025-07-22,EUR
POS-00292,CLI-1029,NVDA,104.9402,178.4722,2025-08-06,USD
POS-00293,CLI-1029,VNQ,31.3764,86.712,2025-07-02,USD
POS-00294,CLI-1029,SPY,30.6777,632.1932,2025-07-03,USD
POS-00295,CLI-1029,AGG,237.6882,95.7268,2026-04-11,USD
POS-00296,CLI-1029,SPY,19.2337,748.866,2026-08-03,USD
POS-00297,CLI-1029,GLD,17.57,417.6438,2026-01-16,USD
POS-00298,CLI-1030,JNJ,642.1266,230.6174,2026-04-18,USD
POS-00299,CLI-1030,JNJ,464.4022,185.7098,2025-10-08,USD
POS-00300,CLI-1030,VNQ,938.1811,87.0494,2025-11-29,USD
POS-00301,CLI-1030,SAN.PA,1191.1895,84.8073,2025-10-30,EUR
POS-00302,CLI-1030,SAP.DE,622.8033,137.3677,2026-07-25,EUR
POS-00303,CLI-1030,IWDA.AS,755.7933,106.4635,2025-11-18,EUR
POS-00304,CLI-1030,IWDA.AS,827.7844,108.82,2026-03-28,EUR
POS-00305,CLI-1031,VNQ,509.1233,88.6091,2025-09-25,USD
POS-00306,CLI-1031,JPM,216.4423,236.7804,2025-03-22,USD
POS-00307,CLI-1031,ASML.AS,32.4083,1275.643,2026-05-18,EUR
POS-00308,CLI-1031,VNQ,731.7988,103.3104,2026-07-28,USD
POS-00309,CLI-1031,MC.PA,83.7231,506.3329,2025-09-03,EUR
POS-00310,CLI-1031,IWDA.AS,92.1907,111.0656,2025-12-01,EUR
POS-00311,CLI-1031,SPY,95.5223,594.0929,2024-12-01,USD
POS-00312,CLI-1031,JPM,41.4958,231.3825,2024-12-30,USD
POS-00313,CLI-1031,SAN.PA,697.2631,81.0265,2025-11-27,EUR
POS-00314,CLI-1031,ASML.AS,36.3865,1119.8543,2026-02-04,EUR
POS-00315,CLI-1031,SAP.DE,432.7761,233.0831,2025-08-17,EUR
POS-00316,CLI-1031,JPM,169.1627,279.5749,2025-08-21,USD
POS-00317,CLI-1032,SAN.PA,220.5922,90.4417,2024-11-03,EUR
POS-00318,CLI-1032,TLT,385.5074,83.07,2025-09-03,USD
POS-00319,CLI-1032,QQQ,43.6664,497.0201,2024-11-23,USD
POS-00320,CLI-1032,MSFT,67.1839,454.7175,2026-01-25,USD
POS-00321,CLI-1032,IWDA.AS,293.4705,120.8229,2026-07-31,EUR
POS-00322,CLI-1032,SAN.PA,491.9977,96.5625,2025-02-11,EUR
POS-00323,CLI-1032,BND,425.7947,67.5297,2025-03-31,USD
POS-00324,CLI-1033,JPM,382.9621,290.4749,2025-08-06,USD
POS-00325,CLI-1033,IWDA.AS,1857.8437,106.2823,2025-09-12,EUR
POS-00326,CLI-1033,IWDA.AS,1235.7174,104.0461,2024-12-06,EUR
POS-00327,CLI-1033,IWDA.AS,1818.5582,99.4643,2025-06-13,EUR
POS-00328,CLI-1033,AAPL,406.2541,274.7099,2025-12-20,USD
POS-00329,CLI-1033,IWDA.AS,1717.927,97.6612,2024-10-02,EUR
POS-00330,CLI-1034,AGG,242.6992,98.2651,2026-07-30,USD
POS-00331,CLI-1034,BND,1151.7428,71.9754,2026-08-27,USD
POS-00332,CLI-1034,AGG,401.4384,97.747,2026-01-28,USD
POS-00333,CLI-1034,BND,1568.823,72.0678,2026-05-02,USD
POS-00334,CLI-1034,AGG,1370.2825,96.7273,2026-02-06,USD
POS-00335,CLI-1034,MSFT,43.7909,477.9615,2026-01-10,USD
POS-00336,CLI-1034,TLT,341.6533,83.9497,2026-02-03,USD
POS-00337,CLI-1034,ASML.AS,44.5655,1251.0673,2026-04-13,EUR
POS-00338,CLI-1034,AGG,69.0826,98.2448,2026-03-10,USD
POS-00339,CLI-1034,BND,152.677,70.9909,2026-06-02,USD
POS-00340,CLI-1034,AGG,275.8487,94.9729,2026-06-12,USD
POS-00341,CLI-1034,TLT,1857.1407,86.4302,2026-01-02,USD
POS-00342,CLI-1034,TLT,721.4198,85.2836,2026-04-24,USD
POS-00343,CLI-1034,VNQ,332.177,97.3653,2026-07-10,USD
POS-00344,CLI-1035,QQQ,37.6186,650.2295,2026-04-27,USD
POS-00345,CLI-1035,NVDA,464.4846,189.7952,2026-04-12,USD
POS-00346,CLI-1035,MC.PA,33.5994,474.7583,2026-07-30,EUR
POS-00347,CLI-1035,JPM,98.5106,312.2805,2026-05-04,USD
POS-00348,CLI-1035,NVDA,266.8769,192.5701,2026-01-31,USD
POS-00349,CLI-1035,NVDA,60.3704,180.8756,2025-12-20,USD
POS-00350,CLI-1035,SAN.PA,503.6033,76.9688,2026-02-04,EUR
POS-00351,CLI-1035,GLD,165.5929,433.8947,2026-04-15,USD
POS-00352,CLI-1035,NVDA,148.0743,174.6907,2026-03-22,USD
POS-00353,CLI-1035,JNJ,117.3704,246.817,2026-03-30,USD
POS-00354,CLI-1035,JPM,53.7216,298.2575,2026-04-15,USD
POS-00355,CLI-1035,TTE.PA,672.362,52.6859,2026-01-08,EUR
POS-00356,CLI-1035,QQQ,23.7046,608.3074,2026-02-21,USD
POS-00357,CLI-1036,JNJ,178.5767,152.9302,2025-02-21,USD
POS-00358,CLI-1036,SAP.DE,104.71,242.6595,2025-06-19,EUR
POS-00359,CLI-1036,SPY,23.7671,594.2797,2025-02-17,USD
POS-00360,CLI-1036,JNJ,298.1128,146.8238,2025-05-22,USD
POS-00361,CLI-1036,TLT,369.3139,83.2278,2025-09-12,USD
POS-00362,CLI-1036,JPM,190.008,285.0704,2025-08-09,USD
POS-00363,CLI-1036,TLT,634.3974,79.9053,2025-02-12,USD
POS-00364,CLI-1037,VNQ,777.6771,96.8196,2026-09-05,USD
