client_id,asset_class,target_weight_pct
CLI-1021,ACTIONS,49.51
CLI-1021,OBLIGATIONS,41.02
CLI-1021,MATIERES_PREMIERES,2.2
CLI-1021,IMMOBILIER,7.27
CLI-1022,ACTIONS,41.33
CLI-1022,OBLIGATIONS,41.77
CLI-1022,MATIERES_PREMIERES,6.81
CLI-1022,IMMOBILIER,10.09
CLI-1023,ACTIONS,89.57
CLI-1023,OBLIGATIONS,1.61
CLI-1023,MATIERES_PREMIERES,5.68
CLI-1023,IMMOBILIER,3.14
CLI-1024,ACTIONS,25.44
CLI-1024,OBLIGATIONS,60.28
CLI-1024,MATIERES_PREMIERES,10.14
CLI-1024,IMMOBILIER,4.14
CLI-1025,ACTIONS,46.24
CLI-1025,OBLIGATIONS,39.82
CLI-1025,MATIERES_PREMIERES,6.32
CLI-1025,IMMOBILIER,7.62
CLI-1026,ACTIONS,66.83
CLI-1026,OBLIGATIONS,22.62
CLI-1026,MATIERES_PREMIERES,5.97
CLI-1026,IMMOBILIER,4.58
CLI-1027,ACTIONS,15.86
CLI-1027,OBLIGATIONS,64.3
CLI-1027,MATIERES_PREMIERES,12.5
CLI-1027,IMMOBILIER,7.34
CLI-1028,ACTIONS,61.52
CLI-1028,OBLIGATIONS,19.85
CLI-1028,MATIERES_PREMIERES,10.39
CLI-1028,IMMOBILIER,8.24
CLI-1029,ACTIONS,74.8
CLI-1029,OBLIGATIONS,7.7
CLI-1029,MATIERES_PREMIERES,8.6
CLI-1029,IMMOBILIER,8.9
CLI-1030,ACTIONS,84.47
CLI-1030,OBLIGATIONS,1.36
CLI-1030,MATIERES_PREMIERES,3.99
CLI-1030,IMMOBILIER,10.18
CLI-1031,ACTIONS,80.81
CLI-1031,OBLIGATIONS,4.14
CLI-1031,MATIERES_PREMIERES,6.35
CLI-1031,IMMOBILIER,8.7
CLI-1032,ACTIONS,65.1
CLI-1032,OBLIGATIONS,18.28
CLI-1032,MATIERES_PREMIERES,9.43
CLI-1032,IMMOBILIER,7.19
CLI-1033,ACTIONS,78.27
CLI-1033,OBLIGATIONS,4.31
CLI-1033,MATIERES_PREMIERES,8.61
CLI-1033,IMMOBILIER,8.81
CLI-1034,ACTIONS,21.14
CLI-1034,OBLIGATIONS,69.78
CLI-1034,MATIERES_PREMIERES,1.93
CLI-1034,IMMOBILIER,7.15
CLI-1035,ACTIONS,88.13
CLI-1035,OBLIGATIONS,1.49
CLI-1035,MATIERES_PREMIERES,5.95
CLI-1035,IMMOBILIER,4.43
CLI-1036,ACTIONS,69.55
CLI-1036,OBLIGATIONS,16.45
CLI-1036,MATIERES_PREMIERES,7.28
CLI-1036,IMMOBILIER,6.72
CLI-1037,ACTIONS,59.47
CLI-1037,OBLIGATIONS,21.37
CLI-1037,MATIERES_PREMIERES,8.0
CLI-1037,IMMOBILIER,11.16
CLI-1038,ACTIONS,66.19
CLI-1038,OBLIGATIONS,18.37
CLI-1038,MATIERES_PREMIERES,6.49
CLI-1038,IMMOBILIER,8.95
CLI-1039,ACTIONS,20.9
CLI-1039,OBLIGATIONS,62.86
CLI-1039,MATIERES_PREMIERES,8.42
CLI-1039,IMMOBILIER,7.82
CLI-1040,ACTIONS,66.1
CLI-1040,OBLIGATIONS,23.35
CLI-1040,MATIERES_PREMIERES,4.05
CLI-1040,IMMOBILIER,6.5
CLI-1041,ACTIONS,78.87
CLI-1041,OBLIGATIONS,3.28
CLI-1041,MATIERES_PREMIERES,9.09
CLI-1041,IMMOBILIER,8.76
CLI-1042,ACTIONS,89.76
CLI-1042,OBLIGATIONS,3.42
CLI-1042,MATIERES_PREMIERES,1.75
CLI-1042,IMMOBILIER,5.07
CLI-1043,ACTIONS,66.96
CLI-1043,OBLIGATIONS,19.95
CLI-1043,MATIERES_PREMIERES,4.73
CLI-1043,IMMOBILIER,8.36
CLI-1044,ACTIONS,64.32
CLI-1044,OBLIGATIONS,16.8
CLI-1044,MATIERES_PREMIERES,14.42
CLI-1044,IMMOBILIER,4.46
